class,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,Tot2Op,Max2Op,TotMaxOp,MaxTotOp,Tot2Lev,Max2Lev,TotMaxLev,MaxTotLev,Tot2DF,Max2DF,TotMaxDF,MaxTotDF,Tot2DU,Max2DU,TotMaxDU,MaxTotDU,TotInMetCall,MaxInMetCall,inOutDeg,pubMembers,num_Files,num_Classes,num_Methods,num_Lines,num_Added,num_Removed,num_Modified,num_Chunks,num_Failing_Tests,num_Repair_Actions,num_Repair_Patterns,First_Exception,Loc_Predicat,Loc_ConditionalBlock,Loc_FunctionBody,Loc_Constructor,Loc_LoopBody,Ncf,Nuf,Ncs,Ns,Nf,Ntsc,Ndsc,Nntc,runtime,passTestRatio,failTestRatio,TotPassTestRatio,TotFailTestRatio,NTestRunPerRT,Um,Md,Nmd,Gs,DDU,Jaccard,label
org.joda.time.chrono.BasicGJChronology,4,46,5,2,7,26,8,0,0,6,0,6,0,176,36,3,11,16,27,3,8,12,92,9,31,42,71,3,20,30,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,176,3839,22,1283,32,3861,108,1.0,0.0,0.045584045584045586,0.0,1.6296296296296295,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.field.DelegatedDateTimeField,5,57,2,4,50,0,54,54,0,4,0,1,0,237,6,1,3,4,2,1,2,1,137,6,132,6,140,6,133,8,50,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,453,3839,22,1497,16,3861,108,0.9956043956043956,0.004395604395604396,0.11732711732711733,0.000518000518000518,4.212962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.004210526315789474,Bad
org.joda.time.field.BaseDateTimeField,6,89,2,5,46,1269,51,49,0,1,0,0,6,939,124,3,22,41,146,4,20,59,348,12,96,98,328,5,84,88,63,7,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2387,3839,22,32826,232,3861,108,0.992928452579035,0.007071547420965058,0.6182336182336182,0.004403004403004403,22.25925925925926,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.007056870070568701,Bad
org.joda.time.chrono.BasicDayOfMonthDateTimeField,6,16,4,0,16,0,10,7,0,2,0,1,7,92,10,1,3,7,25,4,6,18,56,6,23,26,52,3,18,23,3,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2124,3839,22,75227,176,3861,108,0.9915966386554622,0.008403361344537815,0.5501165501165501,0.004662004662004662,19.833333333333332,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.008387698042870456,Bad
org.joda.time.tz.ZoneInfoProvider,2,34,1,0,30,31,11,5,2,4,0,0,5,263,46,3,9,11,42,3,13,12,110,7,28,32,102,4,25,20,6,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,964,3839,22,2764,23,3861,108,0.9948400412796697,0.005159958720330237,0.24967624967624968,0.001295001295001295,8.972222222222221,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.005070993914807302,Bad
org.joda.time.chrono.BasicChronology,24,82,8,3,71,1421,54,10,0,26,2,22,40,684,157,7,46,37,50,3,17,20,2,11,1,108,4,11,2,142,0,4,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1563,3839,22,13406,106,3861,108,0.9974473516273133,0.0025526483726866626,0.4048174048174048,0.001036001036001036,14.50925925925926,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.002523659305993691,Bad
org.joda.time.field.DecoratedDurationField,3,12,3,1,9,0,10,10,0,2,0,1,0,89,3,1,1,3,2,1,1,2,25,3,22,4,26,3,23,5,8,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,674,3839,22,2621,16,3861,108,0.9970414201183432,0.0029585798816568047,0.17456617456617457,0.000518000518000518,6.2592592592592595,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0028735632183908046,Bad
org.joda.time.field.ScaledDurationField,4,21,4,0,15,0,17,17,0,2,0,1,3,132,27,3,21,4,7,2,3,6,85,4,55,12,83,4,53,9,15,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,309,3839,22,3464,48,3861,108,0.9935691318327974,0.006430868167202572,0.08003108003108003,0.000518000518000518,2.8796296296296298,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.006042296072507553,Bad
org.joda.time.DurationField,2,22,1,4,3,190,20,20,0,0,0,0,0,294,4,1,2,2,2,1,2,1,11,3,6,6,11,3,6,6,3,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3477,3839,22,68776,346,3861,108,0.9937124892826522,0.006287510717347814,0.9005439005439005,0.005698005698005698,32.398148148148145,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.006287510717347814,Bad
org.joda.time.IllegalInstantException,2,7,5,0,5,6,4,3,2,1,0,1,3,80,6,3,4,3,2,1,1,2,13,3,7,7,12,2,6,6,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,130,3839,22,2252,106,3861,108,1.0,0.0,0.03367003367003367,0.0,1.2037037037037037,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.tz.DateTimeZoneBuilder,16,285,3,0,124,2703,87,60,10,34,0,3,49,1527,533,12,116,62,428,4,75,60,529,16,66,202,409,8,51,122,12,3,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1559,3839,22,22460,60,3861,108,0.9892131979695431,0.010786802030456852,0.40378140378140376,0.004403004403004403,14.592592592592593,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.010752688172043012,Fair
org.joda.time.chrono.BasicWeekyearDateTimeField,4,28,4,0,24,26,17,15,0,3,0,2,4,224,46,3,13,21,11,2,5,6,160,18,48,87,118,5,33,57,9,2,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,354,3839,22,979,24,3861,108,0.9943820224719101,0.0056179775280898875,0.09168609168609168,0.000518000518000518,3.2962962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.005319148936170213,Bad
org.joda.time.chrono.LimitChronology,16,85,14,0,77,1377,54,46,1,11,0,4,5,521,112,3,41,36,28,2,8,10,116,9,69,106,119,9,70,141,22,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,300,3839,22,4436,60,3861,108,0.9933774834437086,0.006622516556291391,0.0777000777000777,0.000518000518000518,2.7962962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.006211180124223602,Bad
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,6,17,4,0,15,36,13,10,0,2,0,1,4,103,14,2,11,4,7,2,3,5,45,4,29,12,46,4,29,12,2,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,86,3839,22,300,21,3861,108,1.0,0.0,0.022274022274022275,0.0,0.7962962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.chrono.BasicYearDateTimeField,4,23,4,0,19,0,18,16,0,2,0,1,5,125,15,2,7,5,6,1,5,2,66,5,36,12,67,5,36,12,6,2,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,370,3839,22,2932,57,3861,108,0.9946236559139785,0.005376344086021506,0.09583009583009583,0.000518000518000518,3.4444444444444446,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.00510204081632653,Bad
org.joda.time.DateTimeUtils,16,54,1,0,26,393,30,24,23,5,0,3,30,548,51,3,27,9,32,3,18,9,2,5,2,17,3,4,3,12,0,1,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2338,3839,22,24758,93,3861,108,0.9923599320882852,0.007640067911714771,0.6055426055426055,0.004662004662004662,21.814814814814813,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.007627118644067797,Bad
org.joda.time.Instant,11,25,2,0,19,170,20,20,3,2,0,1,8,338,14,3,12,4,2,1,2,1,32,4,24,7,35,4,27,7,13,2,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,3839,22,107,12,3861,108,1.0,0.0,0.005439005439005439,0.0,0.19444444444444445,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.field.UnsupportedDurationField,3,30,2,0,8,270,25,22,1,3,0,2,1,246,13,1,5,6,16,3,4,11,32,5,13,20,27,3,12,14,19,2,2,22,2,2,2,7,6,0,1,3,1,5,4,4,0,0,1,0,0,0,22,13,3839,22,206,68,3861,108,1.0,0.0,0.003367003367003367,0.0,0.12037037037037036,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Perfect
org.joda.time.chrono.ISOChronology,8,26,4,0,20,79,15,8,3,7,0,6,12,216,29,3,12,10,12,1,5,4,6,7,6,23,8,6,8,23,2,1,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1831,3839,22,14335,51,3861,108,0.9897297297297297,0.01027027027027027,0.47422947422947426,0.004921004921004921,17.12962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.01025364274150027,Fair
org.joda.time.field.ZeroIsMaxDateTimeField,6,29,4,0,25,325,26,26,0,1,0,1,1,175,11,1,7,3,3,1,3,1,64,5,53,10,64,5,53,10,24,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,353,3839,22,2800,41,3861,108,0.9915730337078652,0.008426966292134831,0.09142709142709143,0.000777000777000777,3.2962962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.008,Bad
org.joda.time.chrono.GJChronology,21,166,12,0,127,1630,76,56,8,18,0,6,28,1040,218,4,49,43,247,5,57,43,14,19,13,150,15,15,14,168,4,4,43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,278,3839,22,3049,56,3861,108,1.0,0.0,0.072002072002072,0.0,2.574074074074074,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.chrono.BasicDayOfYearDateTimeField,6,14,4,0,13,0,10,7,0,2,0,1,4,89,12,3,7,5,7,2,3,5,39,3,19,13,40,3,19,13,2,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1670,3839,22,5845,27,3861,108,0.9905100830367735,0.009489916963226572,0.43253043253043255,0.004144004144004144,15.61111111111111,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.009456264775413711,Bad
org.joda.time.Partial,14,99,3,0,57,560,45,40,0,8,0,2,20,944,160,3,32,36,214,7,35,81,50,19,29,92,48,7,30,74,8,4,23,30,2,2,2,7,6,0,1,3,1,5,4,4,0,0,1,0,0,3,19,311,3839,22,5557,308,3861,108,0.9904458598726115,0.009554140127388535,0.08054908054908055,0.000777000777000777,2.9074074074074074,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.009009009009009009,Perfect
org.joda.time.chrono.BasicSingleEraDateTimeField,4,18,3,0,6,96,16,15,0,2,0,1,5,113,4,3,4,3,1,1,1,1,29,3,24,6,30,3,25,6,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1791,3839,22,20643,110,3861,108,0.9911455451023796,0.008854454897620365,0.46386946386946387,0.004144004144004144,16.73148148148148,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.00882515168229454,Bad
org.joda.time.field.SkipDateTimeField,4,11,3,0,9,3,6,5,0,4,0,1,3,96,16,2,4,10,11,2,5,6,38,3,13,14,43,3,13,17,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,316,3839,22,2330,36,3861,108,0.9968454258675079,0.0031545741324921135,0.08184408184408185,0.000259000259000259,2.935185185185185,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0029585798816568047,Bad
org.joda.time.chrono.GJEraDateTimeField,5,21,3,0,14,106,17,15,0,2,0,1,7,130,8,1,5,4,9,1,4,3,49,3,28,13,50,3,29,13,7,1,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,943,3839,22,1772,13,3861,108,0.9833159541188738,0.016684045881126174,0.24423724423724424,0.004144004144004144,8.87962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.016580310880829015,Very-Good
org.joda.time.field.PreciseDurationField,3,13,3,0,5,0,11,11,0,2,0,1,5,132,14,2,9,3,6,2,2,6,43,4,25,8,43,4,25,7,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2122,3839,22,10535,26,3861,108,0.991588785046729,0.008411214953271028,0.5495985495985496,0.004662004662004662,19.814814814814813,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.008395522388059701,Bad
org.joda.time.tz.FixedDateTimeZone,2,16,2,0,6,17,11,11,0,4,0,1,1,89,17,4,11,6,4,1,2,3,28,4,18,8,31,4,19,8,2,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,135,3839,22,867,34,3861,108,0.9440559440559441,0.055944055944055944,0.03496503496503497,0.002072002072002072,1.3240740740740742,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.050955414012738856,Very-Good
org.joda.time.field.DecoratedDateTimeField,4,12,3,6,9,0,10,9,0,2,0,1,0,91,3,1,1,3,2,1,1,2,17,3,14,4,18,3,15,5,8,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,1117,3839,22,5376,22,3861,108,0.9973214285714286,0.0026785714285714286,0.2893032893032893,0.000777000777000777,10.37037037037037,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0026338893766461808,Bad
org.joda.time.chrono.GJMonthOfYearDateTimeField,2,6,5,0,6,15,6,4,0,1,0,1,5,56,0,0,0,0,0,0,0,0,9,2,9,2,9,2,9,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,308,3839,22,1099,30,3861,108,0.9935483870967742,0.0064516129032258064,0.07977207977207977,0.000518000518000518,2.8703703703703702,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.006060606060606061,Bad
org.joda.time.chrono.BaseChronology,10,69,2,4,80,1225,50,49,0,1,0,1,80,625,58,3,14,11,51,3,13,16,281,9,124,48,247,5,108,46,23,8,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3147,3839,22,75437,176,3861,108,0.9939987365761213,0.006001263423878711,0.815073815073815,0.004921004921004921,29.314814814814813,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.005995582202587567,Bad
org.joda.time.tz.CachedDateTimeZone,3,38,2,0,16,42,17,13,1,10,2,2,1,182,41,3,18,12,23,2,11,6,36,7,10,31,38,5,11,23,3,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,278,3839,22,673,36,3861,108,0.996415770609319,0.0035842293906810036,0.072002072002072,0.000259000259000259,2.5833333333333335,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0033333333333333335,Bad
org.joda.time.chrono.BuddhistChronology,13,20,4,0,22,53,11,8,3,6,1,6,17,226,33,2,9,16,22,1,5,15,100,8,28,57,101,6,26,64,8,2,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1713,3839,22,8815,37,3861,108,0.9890300230946882,0.010969976905311778,0.44366744366744365,0.004921004921004921,16.037037037037038,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.01095100864553314,Good
org.joda.time.base.AbstractPartial,9,48,1,3,20,210,21,16,0,0,0,0,3,391,60,3,23,9,34,2,18,11,102,4,37,14,100,3,34,12,18,2,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1547,3839,22,4973,58,3861,108,0.9884984025559106,0.011501597444089457,0.4006734006734007,0.004662004662004662,14.49074074074074,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.011472275334608031,Good
org.joda.time.IllegalFieldValueException,2,27,5,0,13,0,19,17,2,9,0,1,8,302,71,2,12,8,20,2,6,11,103,4,42,17,155,4,38,18,7,1,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1623,3839,22,11624,56,3861,108,0.9975414874001229,0.002458512599877074,0.42035742035742035,0.001036001036001036,15.064814814814815,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0024316109422492403,Bad
org.joda.time.chrono.AssembledChronology,6,136,3,8,85,1060,49,40,2,74,35,1,35,495,131,7,21,70,42,1,6,35,109,30,4,314,144,10,4,162,3,9,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,661,3839,22,1328,2,3861,108,0.9954819277108434,0.004518072289156626,0.1711991711991712,0.000777000777000777,6.148148148148148,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.004392386530014641,Bad
org.joda.time.field.PreciseDurationDateTimeField,3,15,3,5,7,13,10,9,0,3,0,1,1,148,25,3,12,7,10,1,4,3,32,3,14,6,33,3,14,7,1,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1859,3839,22,8761,20,3861,108,0.9909381663113006,0.00906183368869936,0.48148148148148145,0.004403004403004403,17.37037037037037,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.009037745879851143,Bad
org.joda.time.DateTimeZone,19,155,1,3,68,1323,51,36,21,14,1,12,45,1241,227,4,49,26,192,4,42,35,5,10,5,53,7,8,7,49,0,7,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3465,3839,22,48394,98,3861,108,0.9945464982778416,0.0054535017221584384,0.8974358974358975,0.004921004921004921,32.25925925925926,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0054488098652136505,Bad
org.joda.time.chrono.BasicMonthOfYearDateTimeField,6,43,4,1,39,0,18,16,0,5,0,2,7,328,116,4,19,37,48,2,10,15,413,27,98,129,285,6,50,71,8,3,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1756,3839,22,21558,38,3861,108,0.9909706546275395,0.009029345372460496,0.4548044548044548,0.004144004144004144,16.40740740740741,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.008998875140607425,Bad
org.joda.time.field.OffsetDateTimeField,4,24,4,0,21,140,20,20,0,4,0,1,4,192,15,2,7,10,5,1,1,5,81,6,54,16,84,6,54,21,12,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1139,3839,22,2808,32,3861,108,0.9861471861471861,0.013852813852813853,0.295001295001295,0.004144004144004144,10.694444444444445,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.013781223083548665,Good
org.joda.time.JodaTimePermission,0,1,3,0,0,0,1,1,0,1,0,1,0,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,227,3839,22,988,32,3861,108,0.9869565217391304,0.013043478260869565,0.058793058793058794,0.000777000777000777,2.1296296296296298,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.012048192771084338,Good
org.joda.time.field.MillisDurationField,3,26,2,0,6,253,23,21,0,2,1,2,8,145,6,1,2,5,4,1,2,3,34,3,28,8,33,3,27,7,3,1,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,803,3839,22,2600,31,3861,108,0.9962779156327544,0.0037220843672456576,0.20797720797720798,0.000777000777000777,7.462962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0036363636363636364,Bad
org.joda.time.DateTimeFieldType,5,85,2,0,39,580,37,34,23,30,0,26,44,546,8,1,5,3,98,1,3,48,109,4,11,51,110,2,10,49,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,575,3839,22,577,1,3861,108,0.9965337954939342,0.0034662045060658577,0.14892514892514894,0.000518000518000518,5.342592592592593,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0033500837520938024,Bad
org.joda.time.DateTimeField,4,50,1,3,0,1225,50,50,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1039,3839,22,5231,263,3861,108,0.9857685009487666,0.014231499051233396,0.2691012691012691,0.003885003885003885,9.75925925925926,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.01413760603204524,Good
org.joda.time.field.BaseDurationField,2,15,2,2,8,60,12,11,0,2,0,1,4,150,10,1,5,5,4,1,2,3,24,3,18,8,24,3,18,7,2,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1933,3839,22,10778,171,3861,108,0.990773962070733,0.009226037929267043,0.5006475006475006,0.004662004662004662,18.064814814814813,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.009207161125319692,Bad
org.joda.time.Chronology,7,49,1,1,0,1176,49,49,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,293,3839,22,8549,90,3861,108,0.979933110367893,0.020066889632107024,0.07588707588707588,0.001554001554001554,2.7685185185185186,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.01904761904761905,Very-Good
org.joda.time.field.UnsupportedDateTimeField,6,60,2,0,10,1395,54,51,1,4,0,2,1,485,16,3,7,10,9,2,3,8,46,5,25,24,42,3,23,18,50,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,113,3839,22,775,22,3861,108,1.0,0.0,0.029267029267029267,0.0,1.0462962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.field.ImpreciseDateTimeField,6,27,5,4,6,217,22,20,0,4,0,2,1,172,17,2,7,11,11,3,3,11,26,4,26,24,26,4,26,24,8,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2178,3839,22,14598,74,3861,108,0.992255125284738,0.007744874715261959,0.5641025641025641,0.004403004403004403,20.324074074074073,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.007727272727272728,Bad
org.joda.time.field.PreciseDateTimeField,3,10,4,0,8,7,7,7,0,3,0,1,2,131,16,2,8,5,4,1,2,2,31,4,14,9,32,4,14,10,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,333,3839,22,3270,37,3861,108,0.9970059880239521,0.0029940119760479044,0.08624708624708624,0.000259000259000259,3.0925925925925926,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0028169014084507044,Bad
org.joda.time.field.SkipUndoDateTimeField,3,10,3,0,7,3,6,5,0,4,0,1,1,91,15,2,4,10,8,2,4,6,33,3,13,12,38,3,13,17,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,286,3839,22,1620,24,3861,108,0.9965156794425087,0.003484320557491289,0.07407407407407407,0.000259000259000259,2.6574074074074074,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.003246753246753247,Bad
org.joda.time.LocalDate,22,180,4,0,116,6195,115,106,7,11,0,6,41,1989,146,3,54,12,87,3,36,17,41,7,34,27,43,5,35,24,7,6,36,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3839,22,0,2,3861,108,0,0,0.0,0.0,0.0,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0,Bad
org.joda.time.field.DividedDateTimeField,6,28,4,0,20,31,19,18,0,6,0,1,2,233,44,2,14,15,8,1,4,3,118,7,58,28,118,5,53,29,16,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,312,3839,22,2370,64,3861,108,0.9968051118210862,0.003194888178913738,0.08080808080808081,0.000259000259000259,2.8981481481481484,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.0029940119760479044,Bad
org.joda.time.DurationFieldType,4,48,2,0,16,175,22,19,12,17,0,15,1,321,6,1,5,2,54,1,3,26,61,4,9,29,60,2,8,27,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,477,3839,22,528,7,3861,108,0.9958246346555324,0.0041753653444676405,0.12354312354312354,0.000518000518000518,4.435185185185185,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.004008016032064128,Bad
org.joda.time.field.RemainderDateTimeField,6,25,4,0,17,106,20,19,0,4,0,1,2,216,26,2,8,7,8,1,4,3,72,5,40,11,80,5,42,15,13,2,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1514,3839,22,4929,24,3861,108,0.9901896664486592,0.009810333551340745,0.3921263921263921,0.003885003885003885,14.157407407407407,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.009765625,Fair
org.joda.time.base.AbstractInstant,10,38,1,2,20,406,29,28,0,0,0,0,12,406,26,2,16,6,10,1,6,4,60,3,37,9,57,3,34,8,15,1,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1430,3839,22,3488,39,3861,108,0.9896193771626297,0.010380622837370242,0.37037037037037035,0.003885003885003885,13.37962962962963,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.010330578512396695,Fair
org.joda.time.chrono.JulianChronology,7,34,6,0,16,163,19,6,5,7,0,7,14,237,35,3,13,13,15,2,7,5,91,13,48,26,78,10,45,18,7,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,134,3839,22,609,21,3861,108,0.9925925925925926,0.007407407407407408,0.03470603470603471,0.000259000259000259,1.25,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.00641025641025641,Bad
org.joda.time.base.BaseLocal,1,2,2,3,0,1,2,0,0,1,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1530,3839,22,16742,42,3861,108,0.9902912621359223,0.009708737864077669,0.3962703962703963,0.003885003885003885,14.305555555555555,1.0,0.2507572942355551,0.5015145884711102,0.9949241317116965,0.4989689664753681,0.009664948453608248,Bad
